tipo_componente,codigo,nome,unidade_responsavel,ch_total,equivalencia,pre_requisito,co_requisito
DISCIPLINA,MUT804,INSTRUMENTO V,ESCOLA DE MÚSICA,45,( MUT417 ) OU ( MUT524 ) OU ( MUT504 ) OU ( MUT410 ) OU ( MUT423 ) OU ( MUT450 ) OU ( MUT466 ) OU ( MUT421 ) OU ( MUT407 ) OU ( MUT409 ) OU ( MUT470 ) OU ( MUT412 ) OU ( MUT214 ) OU ( MUT419 ) OU ( MUT411 ) OU ( MUT478 ) OU ( MUT480 ) ,( MUT803 ) ,
DISCIPLINA,MUT209,PIANO COMPLEMENTAR,ESCOLA DE MÚSICA,15,,,
DISCIPLINA,MUT301,HISTÓRIA E ESTRUTURAÇÃO MUSICAL I,ESCOLA DE MÚSICA,60,,,
DISCIPLINA,MUT302,HISTÓRIA E ESTRUTURAÇÃO MUSICAL II,ESCOLA DE MÚSICA,60,,,
DISCIPLINA,MUT305,MUSICA POPULAR BRASILEIRA (MPB),ESCOLA DE MÚSICA,30,,,
DISCIPLINA,MUT306,ELABORAÇÃO E EDIÇÃO DE PARTITURAS,ESCOLA DE MÚSICA,30,,,
DISCIPLINA,MUT307,PERCEPÇÃO I,ESCOLA DE MÚSICA,30,,,
DISCIPLINA,MUT308,PERCEPÇÃO II,ESCOLA DE MÚSICA,30,,( MUT307 ) ,
DISCIPLINA,MUT309,PERCEPÇÃO III,ESCOLA DE MÚSICA,30,,( MUT308 ) ,
DISCIPLINA,MUT401,PRÁTICA DE CONJUNTO I,ESCOLA DE MÚSICA,60,,,
DISCIPLINA,MUT402,PRÁTICA DE CONJUNTO II,ESCOLA DE MÚSICA,60,,,
DISCIPLINA,MUT403,PRÁTICA DE CONJUNTO III,ESCOLA DE MÚSICA,60,,,
DISCIPLINA,MUT404,PRÁTICA DE ORQUESTRA,ESCOLA DE MÚSICA,60,,,
DISCIPLINA,MUT405,CANTO CORAL,ESCOLA DE MÚSICA,30,,,
DISCIPLINA,MUT406,HARMONIA E IMPROVISAÇÃO I,ESCOLA DE MÚSICA,15,,,
DISCIPLINA,MUT407,PIANO V,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT408,CANTO V,ESCOLA DE MÚSICA,45,,( MUT104 ) ,
DISCIPLINA,MUT409,SAXOFONE V,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT410,FLAUTA DOCE V,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT411,VIOLA V,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT412,TROMPETE V,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT413,CANTO VI,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT414,TROMPETE VI,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT415,PIANO VI,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT416,SAXOFONE VI,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT417,CLARINETE V,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT418,CLARINETE VI,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT419,VIOLÃO V,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT420,VIOLÃO VI,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT421,PERCUSSÃO V,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT422,PERCUSSÃO VI,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT423,FLAUTA TRANSVERSAL V,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT424,FLAUTA TRANSVERSAL VI,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT426,FLAUTA DOCE VI,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT427,VIOLINO VI,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT428,VIOLA VI,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT450,GUITARRA ELÉTRICA V,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT451,GUITARRA ELÉTRICA VI,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT452,HARMONIA E IMPROVISAÇÃO III,ESCOLA DE MÚSICA,15,,,
DISCIPLINA,MUT453,HARMONIA E IMPROVISAÇÃO II,ESCOLA DE MÚSICA,15,,,
DISCIPLINA,MUT454,EDIÇÃO DE ÁUDIO I,ESCOLA DE MÚSICA,60,,,
DISCIPLINA,MUT455,PRÁTICA DE ESTÚDIO I,ESCOLA DE MÚSICA,60,,,
DISCIPLINA,MUT458,MORFOLOGIA E ANÁLISE MUSICAL I,ESCOLA DE MÚSICA,30,( MUT310 ) ,,
DISCIPLINA,MUT459,MORFOLOGIA E ANÁLISE MUSICAL II,ESCOLA DE MÚSICA,30,( MUT311 ) ,,
DISCIPLINA,MUT460,HARMONIA I,ESCOLA DE MÚSICA,30,,,
DISCIPLINA,MUT461,HARMONIA II,ESCOLA DE MÚSICA,30,,( MUT460 ) ,
DISCIPLINA,MUT462,HISTÓRIA DA MÚSICA I,ESCOLA DE MÚSICA,60,,,
DISCIPLINA,MUT463,HISTÓRIA DA MÚSICA II,ESCOLA DE MÚSICA,60,,,
DISCIPLINA,MUT466,OBOÉ V,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT467,OBOÉ VI,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT468,REGÊNCIA V,ESCOLA DE MÚSICA,45,,( MUT164 ) ,
DISCIPLINA,MUT469,REGÊNCIA VI,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT470,TROMBONE V,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT471,TROMBONE VI,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT472,PERCEPÇÃO IV,ESCOLA DE MÚSICA,30,,( MUT309 ) ,
DISCIPLINA,MUT473,SEMINÁRIOS EXPERIMENTAIS,ESCOLA DE MÚSICA,30,,,
DISCIPLINA,MUT477,ARRANJOS I,ESCOLA DE MÚSICA,30,,,
DISCIPLINA,MUT478,VIOLINO V,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT479,VIOLONCELO II,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT480,VIOLONCELO V,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT490,VIOLONCELO VI,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT491,ARRANJOS II,ESCOLA DE MÚSICA,30,,( MUT477 ) ,
DISCIPLINA,MUT492,PREPARAÇÃO PARA O PALCO E PERFORMANCE,ESCOLA DE MÚSICA,30,,,
DISCIPLINA,MUT496,RECITAL SOLO,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT500,CONTRABAIXO ELÉTRICO I,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT501,CONTRABAIXO ELÉTRICO II,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT502,CONTRABAIXO ELÉTRICO III,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT503,CONTRABAIXO ELÉTRICO IV,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT504,CONTRABAIXO ELÉTRICO V,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT505,CONTRABAIXO ELÉTRICO VI,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT604,INSTRUMENTO COMPLEMENTAR I,ESCOLA DE MÚSICA,30,,,
DISCIPLINA,MUT605,INSTRUMENTO COMPLEMENTAR II,ESCOLA DE MÚSICA,30,,,
DISCIPLINA,MUT606,INSTRUMENTO COMPLEMENTAR III,ESCOLA DE MÚSICA,30,,,
DISCIPLINA,MUT607,INSTRUMENTO COMPLEMENTAR IV,ESCOLA DE MÚSICA,30,,,
DISCIPLINA,MUT608,INSTRUMENTO COMPLEMENTAR V,ESCOLA DE MÚSICA,30,,,
DISCIPLINA,MUT609,INSTRUMENTO COMPLEMENTAR VI,ESCOLA DE MÚSICA,30,,,
DISCIPLINA,MUT610,LEITURA DE CIFRAS,ESCOLA DE MÚSICA,15,,,
DISCIPLINA,MUT611,INSTRUMENTAÇÃO,ESCOLA DE MÚSICA,30,,,
DISCIPLINA,MUT507,COMPOSIÇÃO EM MÚSICA POPULAR II,ESCOLA DE MÚSICA,60,,,
DISCIPLINA,MUT509,EDIÇÃO DE AUDIO II,ESCOLA DE MÚSICA,60,,( MUT454 ) ,
DISCIPLINA,MUT722,LABORATÓRIOS ELETIVOS II,ESCOLA DE MÚSICA,60,,,
DISCIPLINA,MUT801,INSTRUMENTO II,ESCOLA DE MÚSICA,45,( MUT0008 ) OU ( MUT118 ) OU ( MUT106 ) OU ( MUT110 ) OU ( MUT158 ) OU ( MUT114 ) OU ( MUT130 ) OU ( MUT134 ) OU ( MUT122 ) OU ( MUT154 ) OU ( MUT126 ) OU ( MUT211 ) OU ( MUT146 ) OU ( MUT138 ) OU ( MUT142 ) OU ( MUT479 ) OU ( MUT521 ) OU ( MUT501 ) ,( MUT800 ) ,
DISCIPLINA,MUT803,INSTRUMENTO IV,ESCOLA DE MÚSICA,45,( MUT120 ) OU ( MUT523 ) OU ( MUT503 ) OU ( MUT108 ) OU ( MUT112 ) OU ( MUT160 ) OU ( MUT0010 ) OU ( MUT116 ) OU ( MUT132 ) OU ( MUT136 ) OU ( MUT124 ) OU ( MUT156 ) OU ( MUT128 ) OU ( MUT213 ) OU ( MUT148 ) OU ( MUT140 ) OU ( MUT144 ) OU ( MUT152 ) ,( MUT802 ) ,
DISCIPLINA,MUT170,PIANO COMPLEMENTAR VI,ESCOLA DE MÚSICA,15,,,
DISCIPLINA,MUT521,CONTRABAIXO ACÚSTICO II,ESCOLA DE MÚSICA,30,,,
DISCIPLINA,MUT522,CONTRABAIXO ACÚSTICO III,ESCOLA DE MÚSICA,30,,,
DISCIPLINA,MUT523,CONTRABAIXO ACÚSTICO IV,ESCOLA DE MÚSICA,30,,,
DISCIPLINA,MUT524,CONTRABAIXO ACÚSTICO V,ESCOLA DE MÚSICA,30,,,
DISCIPLINA,MUT525,CONTRABAIXO ACÚSTICO VI,ESCOLA DE MÚSICA,30,,,
DISCIPLINA,MUT166,PIANO COMPLEMENTAR II,ESCOLA DE MÚSICA,15,,,
DISCIPLINA,MUT168,PIANO COMPLEMENTAR IV,ESCOLA DE MÚSICA,15,( MUT167 ) E ( MUT0002 ) ,,
DISCIPLINA,MUT550,HARMONIA FUNCIONAL E IMPROVISAÇÃO I,ESCOLA DE MÚSICA,30,,,
DISCIPLINA,MUT551,HARMONIA FUNCIONAL E IMPROVISAÇÃO II,ESCOLA DE MÚSICA,30,,( MUT550 ) ,
DISCIPLINA,MUT552,HARMONIA FUNCIONAL E IMPROVISAÇÃO III,ESCOLA DE MÚSICA,30,,( MUT551 ) ,
DISCIPLINA,MUT723,LABORATÓRIOS ELETIVOS III,ESCOLA DE MÚSICA,60,,,
DISCIPLINA,MUT802,INSTRUMENTO III,ESCOLA DE MÚSICA,45,( MUT119 ) OU ( MUT522 ) OU ( MUT502 ) OU ( MUT107 ) OU ( MUT111 ) OU ( MUT159 ) OU ( MUT0009 ) OU ( MUT115 ) OU ( MUT131 ) OU ( MUT135 ) OU ( MUT123 ) OU ( MUT155 ) OU ( MUT127 ) OU ( MUT212 ) OU ( MUT147 ) OU ( MUT139 ) OU ( MUT143 ) OU ( MUT151 ) ,( MUT801 ) ,
DISCIPLINA,MUT805,INSTRUMENTO VI (RECITAL),ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT310,APRECIAÇÃO MUSICAL I,ESCOLA DE MÚSICA,60,( ( MUT462 ) E ( MUT463 ) ) OU ( ( MUT458 ) E ( MUT459 ) ) OU ( ( MUT462 ) E ( MUT458 ) ) ,,
DISCIPLINA,MUT311,APRECIAÇÃO MUSICAL II,ESCOLA DE MÚSICA,60,( ( MUT462 ) E ( MUT463 ) ) OU ( ( MUT458 ) E ( MUT459 ) ) OU ( ( MUT462 ) E ( MUT458 ) ) ,( MUT310 ) ,
DISCIPLINA,MUT456,ELABORACAO E EDICAO DE PARTITURAS,ESCOLA DE MÚSICA,60,,,
DISCIPLINA,MUT700,MANUTENÇÃO E CONFIGURAÇÃO DE COMPUTADORES,ESCOLA DE MÚSICA,30,,,
DISCIPLINA,MUT701,PRÁTICA DE ESTÚDIO I,ESCOLA DE MÚSICA,75,,,
DISCIPLINA,MUT702,PRÁTICA DE ESTÚDIO II,ESCOLA DE MÚSICA,75,,( MUT701 ) ,
DISCIPLINA,MUT703,ELETRÔNICA PARA ÁUDIO,ESCOLA DE MÚSICA,30,,,
DISCIPLINA,MUT704,MICROFONES,ESCOLA DE MÚSICA,30,,,
DISCIPLINA,MUT705,MUSICA E INTERNET,ESCOLA DE MÚSICA,30,,,
DISCIPLINA,MUT666,PIANO COMPLEMENTAR I,ESCOLA DE MÚSICA,30,,,
DISCIPLINA,MUT210,TUBA I,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT211,TUBA II,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT212,TUBA III,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT213,TUBA IV,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT214,TUBA V,ESCOLA DE MÚSICA,45,,,
DISCIPLINA,MUT497,RECITAL,ESCOLA DE MÚSICA,45,( MUT496 ) OU ( MUT416 ) OU ( MUT471 ) ,( MUT408 OU MUT804 OU MUT468 OU MUT423 ) ,
DISCIPLINA,MUT481,PRATICA DE CONJUNTO,ESCOLA DE MÚSICA,45,( MUT721 ) OU ( MUT722 ) ,,
DISCIPLINA,MUT667,PIANO COMPLEMENTAR II,ESCOLA DE MÚSICA,30,,( MUT666 ) ,
DISCIPLINA,COM0132,LINGUAGEM JORNALISTICA PARA RADIO E TV,DEPARTAMENTO DE COMUNICAÇÃO SOCIAL,60,( COM0245 ) ,( COM0085 OU COM0056 ) E ( COM0122 OU COM0059 ) ,
DISCIPLINA,ESE0213,PROCESSO DE ALFABETIZACAO,CERES - DEPTO ESTUDOS SOCIAIS E EDUCACIONAIS,90,( EDU0595 OU FPE0595 OU DED0423 OU FPE5019 ) ,( ( ( CSH0150 OU CSH0250 ) E ESE0209 E ESE0207 ) ) OU ( LET0222 OU EDU0591 OU EDU0589 OU FPE0589 OU FPE0591 OU EDU5004 OU FPE5004 ) ,
DISCIPLINA,DCS0003,ASPECTOS SOC.CULT.DO NORDESTE,DEPARTAMENTO DE CIÊNCIAS SOCIAIS,60,,( ( ( DAN0002 OU DAN0031 ) E ( DCS0030 OU DCS0033 ) ) OU ( ( DCS0301 ) E ( DAN0101 ) ) ) ,
DISCIPLINA,DBF0003,BIOFISICA III,DEPARTAMENTO DE BIOFÍSICA E FARMACOLOGIA,60,( DBF0091 ) OU ( DBF0014 ) ,( ( ( DBG0003 ) E ( MOR0022 ) E ( MOR0003 OU MOR0009 ) ) OU ( ( MOR0007 OU MOR0011 ) E ( MOR0024 OU MOR0025 ) ) ) ,
DISCIPLINA,DCA0451,COMPUTACAO NUMERICA,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO,60,( DIM0302 OU DCA0304 OU DCA0106 ) ,( ( ( DCA0429 OU MAT0314 ) E DIM0327 E DIM0326 ) OU ( MAT0314 E ( MAT0313 OU MAT0230 ) E ( DIM0321 OU DIM0052 ) ) ) ,
DISCIPLINA,DCA0416,SISTEMAS ESPECIALISTAS APLICADOS A AUTOMACAO,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO,60,,( ( ( DCA0432 OU DIM0356 OU DCA0900 ) E DCA0436 E DCA0437 ) ) ,
DISCIPLINA,DIM0072,TECNICAS DE ESPECIFICACAO FORMAL,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,60,( DIM0026 ) OU ( DIM0336 ) ,( ( ( DIM0049 OU DIM0337 ) E ( DIM0051 OU DIM0060 OU DIM0336 ) ) ) ,
DISCIPLINA,ECO0008,ANALISE MACRO ECONOMICA I,DEPARTAMENTO DE ECONOMIA,60,( CSH0094 ) OU ( ECO0106 ) ,( ( ( ECO0005 E ECO0011 ) OU ECO0026 OU ECO0002 ) ) ,
DISCIPLINA,ECO0503,MONOGRAFIA II,DEPARTAMENTO DE ECONOMIA,180,( ECO1534 ) ,( ( ( ECO0207 ) OU ( ECO0022 ) ) E ( ECO0502 ) ) ,
DISCIPLINA,EDU0722,PRATICA DE ENSINO NA ESCOLA DE 1* GRAU,DEPARTAMENTO DE EDUCAÇÃO,225,( EDU0651 ) ,( ( ( EDU0635 ) E ( EDU0636 ) E ( EDU0637 ) E ( EDU0638 ) E ( EDU0639 ) ) OU ( ( EDU0715 ) E ( EDU0716 ) E ( EDU0717 ) E ( EDU0718 ) E ( EDU0719 ) ) ) ,
DISCIPLINA,ELE0315,ELETRONICA DIGITAL I,DEPARTAMENTO DE ENGENHARIA ELÉTRICA,60,( ELE0011 ) OU ( ELE0425 ) OU ( ELE0515 ) ,( ( ( ELE0311 E ELE0312 ) OU ELE0007 ) OU ( ELE0401 ) ) ,
DISCIPLINA,DCA0404,ARQUITETURA DE COMPUTADORES,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO,60,( DCA0104 ) ,( ( ( ELE0315 E ELE0316 ) OU ( ELE0427 E ELE0428 ) OU ELE0424 ) ) ,
DISCIPLINA,DCA0418,SUPERVISAO E CONTROLE OPERACIONAL DE SISTEMAS,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO,60,,( ( ( DCA0101 OU ELE0427 OU ELE0315 ) E ( DCA0102 OU ELE0428 ) E ( DCA0103 OU DCA0429 ) ) ) ,
DISCIPLINA,DCA0443,CONTROLADORES LOGICOS PROGRAMAVEIS,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO,60,,( ( ( DCA0101 OU ELE0427 ) E ( DCA0102 OU ELE0428 ) E ( DCA0103 OU DCA0429 ) ) ) OU ( DCA0206 OU ELE0522 ) ,
DISCIPLINA,DCA0420,LINGUAGEM DE DESCRICAO DE HARDWARE,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO,60,,( ( ELE0427 OU DCA0101 ) E ( ELE0428 OU DCA0102 ) E ( ( DIM0324 E DIM0325 ) OU ( DIM0427 E DIM0428 ) ) ) ,
DISCIPLINA,DPU0020,DIREITO ADMINISTRATIVO I,DEPARTAMENTO DE DIREITO PUBLICO,60,( ESE0617 ) ,( ( ( ESE0613 ) OU ( DPU0104 OU DPU0205 ) OU ( DPU0032 ) ) OU ( ( DPR0201 OU DPU0205 ) ) ) ,
DISCIPLINA,EST0073,ESTATISTICA NAO-PARAMETRICA,DEPARTAMENTO DE ESTATISTICA,60,( EST0043 ) ,( EST0061 OU EST0114 ) ,
DISCIPLINA,EST0077,METODOS COMPUTACIONAIS EM ESTATISTICA,DEPARTAMENTO DE ESTATISTICA,60,( EST0047 ) ,( ( ( EST0061 ) E ( EST0091 ) ) OU ( ( EST0114 ) E ( EST0091 ) ) OU ( ( EST0036 ) E ( EST0039 ) ) ) ,
DISCIPLINA,EST0064,AMOSTRAGEM I,DEPARTAMENTO DE ESTATISTICA,90,( EST0049 ) ,( EST0061 OU EST0037 OU EST0114 ) ,
DISCIPLINA,EST0083,PLANEJAMENTO DE EXPERIMENTOS I,DEPARTAMENTO DE ESTATISTICA,90,( EST0010 ) ,( EST0061 OU EST0037 OU EST0114 ) ,
ATIVIDADE,EST0075,ATIVIDADE DE CONSULTORIA ESTATÍSTICA,DEPARTAMENTO DE ESTATISTICA,90,( EST0045 ) E ( EST0046 ) ,( EST0069 ) ,
DISCIPLINA,CIV0322,HIDROLOGIA,DEPARTAMENTO DE ENGENHARIA CIVIL,60,( CIV0017 OU CIV0422 OU CIV1104 ) ,( ( ( EST0312 OU EST0210 ) E CIV0317 ) OU ( CIV0008 E CIV0015 ) ) ,
DISCIPLINA,GEO0022,HIDROGEOLOGIA,DEPARTAMENTO DE GEOLOGIA,90,( GEO0415 ) ,( ( ( GEO0012 OU GEO0057 ) E ( GEO0015 OU GEO0059 ) ) OU ( GEO0312 E GEO0340 ) ) ,
DISCIPLINA,LET0308,ESTILISTICA DA LINGUA PORTUGUESA I,DEPARTAMENTO DE LETRAS,45,( LET0006 ) OU ( LET0106 ) ,( ( ( LET0304 ) E ( LET0307 ) ) OU ( LET0002 ) ) ,
DISCIPLINA,LET0317,FILOLOGIA PORTUGUESA,DEPARTAMENTO DE LETRAS,60,( LET0009 ) ,( ( ( LET0309 ) E ( LET0361 ) ) OU ( LET0002 ) ) ,
